Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUI12C New Myeloid Panel 1 Nasal_001.fcs,31.5,61,16.4,15.1,44.6,23.9,2.04,1.22,8.29,8.83,5.03,1.22,1.09,3.8,1.77,0.41,24.2,14.7,3.53,0.82,15.1,8.02,296,2850,751,6124,CUI12C,Nasal,Good,Stained,Stained,NewMF
Samples_CUI129 New Myeloid Panel 1 Nasal_001.fcs,79.9,16.7,11.6,68.2,5.1,15,0.36,2.13,10.9,65.4,0.13,0.11,0.2,0.64,0.1,0.86,3.44,11.6,0.2,0.095,1.36,2.47,1060,547,1255,4035,CUI129,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI 15S Nasal.fcs,90.8,60.2,55,35.8,5.25,3.98,1.09,1,53.5,33.5,0.013,0.027,0.33,1.28,0.017,6.65E-03,4.34,2.19,0.12,3.32E-03,0.77,1.78,3286,2774,3901,5691,CUI15S,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI15Y Nasal.fcs,58,13.2,6.88,51.1,6.32,35.7,0,0.19,4.83,38.5,0,0,2.04,12.5,0,0,2.6,11.2,0.19,0.19,3.53,24.3,652,176,1017,1579,CUI15Y,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI15Z Nasal.fcs,31.2,44.3,14.5,16.7,29.8,38.9,2.94,7.4,4.67,6.39,0.3,0.51,6.59,2.43,0.2,0.2,2.33,2.74,2.64,2.54,24.6,33.5,1674,502,5872,2047,CUI15Z,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI160 Nasal.fcs,70.2,17.1,9.04,61.2,8.03,21.7,0.078,7.4,1.09,48.8,3.82,0.55,4.05,4.44,0.16,0.47,0.31,2.42,3.27,1.87,4.29,17,2634,108,3707,582,CUI160,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI161 Nasal.fcs,80,5.71,4.64,75.4,1.06,18.9,0.097,6.05,1.02,59.1,2.81,0.097,0.73,10.2,0,0.048,0.048,0.73,0.15,0.15,0.87,18,1878,77,2382,852,CUI161,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI162 Nasal.fcs,50,46.7,18.5,31.5,28.2,21.9,5.07,11.1,7.9,11.4,0.13,0.045,5.39,8.89,0.27,0.45,0.49,0.76,0.4,0,27,20.6,886,762,2251,2675,CUI162,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI163 Nasal.fcs,57,0.83,0.53,56.5,0.3,42.7,0.079,38.1,0.14,15.1,0.21,0.41,0.11,2.87,0.042,9.54,0.036,2.89,0.03,1.47,0.19,28.8,860,76.4,1462,714,CUI163,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI164 Nasal Scrape.fcs,84.8,38.5,28.5,56.3,9.97,5.27,0,0.43,27.8,50.6,0,0.14,0.71,5.13,0,0,8.55,2.71,0,0,1.42,2.56,2279,1169,2841,5577,CUI164,Nasal,Good,Stained,Stained,NewMF
Specimen_001_CUI167  Nasal Scrape.fcs,34.3,45.8,11.9,22.3,33.9,31.9,0.73,1.91,9.48,13.9,0,0,1.73,6.56,0.18,0.046,7.38,1.05,0.46,0.41,25.8,30.4,707,854,2667,3982,CUI167,Nasal,Good,Stained,Stained,NewMF
Samples_CUI11T New Myeloid Panel 1 Nasal_001.fcs,45.6,65.3,26.5,19.1,38.8,15.6,8.4,5.21,4.47,6.94,4.2,0.46,9.41,6.48,0.55,0.27,4.75,1,1.19,0.27,32.3,14.1,659,2148,1637,4784,CUI11T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11U New Myeloid Panel 1 Nasal_001.fcs,50.2,23.6,5.39,44.8,18.2,31.6,0.15,8.47,1.39,6.01,1.08,1.23,2.77,29.1,0.31,0,1.23,0.15,1.39,0.92,15.3,30.5,573,376,1141,4817,CUI11U,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11V New Myeloid Panel 1 Nasal_001.fcs,33.4,40.7,15.3,18.1,25.4,41.2,0.65,2.75,0.81,3.23,10,2.26,3.88,9.85,0.16,0,1.29,2.42,1.78,0.48,22.1,38.3,362,2127,1025,7934,CUI11V,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11W New Myeloid Panel 1 Nasal_001.fcs,72.5,66.8,50.5,22,16.3,11.2,5.99,2.26,38.9,14.3,1.55,0.61,4.03,4.83,0.64,0.058,1.8,0.86,1.85,0.13,12,10.1,1637,3338,2516,5737,CUI11W,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI11X New Myeloid Panel 1 Nasal_001.fcs,61.3,51.6,28.6,32.8,23,15.6,2.81,4.45,9.54,19.4,13.2,2.42,3,6.53,0.39,0.048,2.37,0.68,6.24,2.81,14,12.1,813,2099,1553,5776,CUI11X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12A New Myeloid Panel 1 Nasal_001.fcs,86,16.4,9.74,76.2,6.69,7.33,0.49,0.7,8.54,74.6,0.18,0.052,0.54,0.86,0.047,0.052,4.65,5.54,0.033,0.038,1.97,1.71,779,350,861,5697,CUI12A,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12B New Myeloid Panel 1 Nasal_001.fcs,71.1,43.2,24.6,46.6,18.6,10.2,0.36,2.87,6.99,39.1,7.89,1.08,9.32,3.58,0.72,0.36,4.12,3.23,0.72,0.54,13.1,6.09,536,1236,740,6675,CUI12B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12D New Myeloid Panel 1 Nasal_001.fcs,85.4,18.1,11.1,74.2,7,7.64,1.05,15.7,4.47,55.7,3.55,0.41,2.06,2.42,0.37,1.01,3.56,3.16,0.26,0.34,2.81,3.12,735,254,825,5283,CUI12D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12E New Myeloid Panel 1 Nasal_001.fcs,81.9,18.2,11.2,70.7,6.95,11.2,1.34,20.4,3.22,47.3,3.69,0.95,2.95,2.01,0.33,3,2.67,4.51,0.33,0.49,3.62,3.16,374,306,433,4118,CUI12E,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUI12J New Myeloid Panel 1 Nasal_001.fcs,83.5,31.7,21.7,61.8,10,6.51,3.21,5.89,17.1,55.1,0.81,0.32,0.61,0.42,0.82,0.54,5.98,4.12,0.53,0.24,2.68,1.61,608,280,671,1781,CUH12J,Nasal,Good,Not Stained,Stained,NewMF
